Hotel_Address,Review_Date,Average_Score,Hotel_Name,Reviewer_Nationality,Hotel_number_reviews,Reviewer_number_reviews,Review_Score,Review,Review_Type
Via Via Laietana 17 Ciutat Vella 08003 Barcelona Spain,2/19/2016,7.9,Exe Laietana Palace, United States of America ,2045,18,5.8, With so many to choose from I booked a room in this hotel ONLY because in the featured pictures it had two floor to ceiling windows I also sent the hotel a friendly note inquiring about whether or not the photos indeed were of the booked room upon arrival we were given a room without any windows quite sad and disappointing  The location was great ,Bad_review
1 1 2 Serjeant s Inn Fleet Street City of London London EC4Y 1LL UK,3/13/2017,9.2,Apex Temple Court Hotel, Singapore ,2619,32,4.2, The rooms were too dark and warm After shaving I got on a plane and realized I missed half my face The bathroom mirror was placed right on top of the toilet bowl which was absolutely disgusting Another design flaw was that you had to move the toilet seat up and down in order to flush the toilet The bedroom windows were painted shut which made it awfully stuffy hot and unbearable in the room It was difficult for bad smells to escape since there was no ventilation in the room The walkway outside the hotel room stank of chemicals and the hallway looked soulless like student dormitories One should not be paying so much money for such a low standard hotel which did not even include breakfast The staff were from anywhere else but Britain which did not help make our British experience any better  It was located in a cosy corner off the street ,Bad_review
55 55 61 Westbourne Terrace Westminster Borough London W2 3UY UK,11/16/2015,7.3,Shaftesbury Premier London Paddington, United Kingdom ,3609,9,4.6, tiny room small bad and rude staff location,Bad_review
11 11 13 Bayley Street Bedford Square Camden London WC1B 3HD UK,9/15/2016,8.1,My Bloomsbury, United Kingdom ,1161,7,6.3, We paid a bit more for the superior room which was very disappointing Scuffs on the walls battered furniture not enough room to open the door properly and only one bedside table because it was that small Disappointing when you ve seen the photos and description on this website and the hotels own website and are lead to believe you are staying somewhere totally different Not a nice feel to the room at all Also paid extra for Continental breakfast which was insubstantial if I was to stay here again which I won t I wouldn t bother with the breakfast  The bed was very comfy and the reception staff were friendly The best thing was the location walking distance to so much in central London ,Bad_review
Prinsengracht Prinsengracht 444 Amsterdam City Center 1017 KE Amsterdam Netherlands,6/19/2017,8.4,Dikker en Thijs Fenice Hotel, United States of America ,1971,15,3.3, Dirty skanky overpriced inept workers Nothing,Bad_review
92 92 Southampton Row Camden London WC1B 4BH UK,7/3/2017,8.3,DoubleTree by Hilton London West End, United Kingdom ,1774,5,5.8, The lifts are a bit small and there is no fridge in the room The hotel doesn t have a drop off site You will take risk of parking outside of the hotel even for a couple of minutes  Locate at the centre of Holburn ,Bad_review
Avenida Avenida Bogatell 64 68 Sant Mart 08005 Barcelona Spain,3/6/2017,8.2,H10 Marina Barcelona, United Kingdom ,1579,3,5.0, standard double is really very basic for the price more like a 3 star ,Bad_review
Bryanston Bryanston Street Marble Arch Westminster Borough London W1H 7EH UK,5/12/2017,8.5,Amba Hotel Marble Arch, United Arab Emirates ,3980,35,6.3, The staff at the breakfast the grill So unprofessional and loud speaking to the guests Specially the supervisor Indian man  The size of the room and the clean rooms,Bad_review
Cardington Cardington Street Euston Camden London NW1 2LP UK,8/21/2015,8.3,Thistle Euston, Hong Kong ,2474,1,6.3, There is no fridge in rooms  Their staff is helpful in helping us to change from double to twin rooms ,Bad_review
68 68 86 Cromwell Road Kensington Kensington and Chelsea London SW7 5BT UK,4/6/2017,8.2,Radisson Blu Edwardian Vanderbilt, New Zealand ,2665,10,5.4, Hotel looks great in the dining room and bar huge disappointment when you get to your room  Good location,Bad_review
Calle Calle K s n Entrada principal Mercabarna Sants Montju c 08040 Barcelona Spain,11/19/2015,7.8,Hotel Best Western PLUS Alfa Aeropuerto, United States of America ,2521,1,6.3, Bathroom Staff,Bad_review
152 152 Cricklewood Broadway Cricklewood London NW2 3ED UK,2/21/2016,8.0,Clayton Crown Hotel London, United Kingdom ,2491,2,5.4, Rude staff Rubbish gym Tiny swimming pool  Clean big rooms ,Bad_review
Amstelstraat Amstelstraat 17 Amsterdam City Center 1017 DA Amsterdam Netherlands,8/14/2015,7.8,Hampshire Hotel Rembrandt Square Amsterdam, Iran ,2591,6,5.0, dirty as garbage 3 night stay and never clean my room and bathroom and never change sheets  Great location,Bad_review
Royal Royal Victoria Dock Western Gateway Newham London E16 1AL UK,4/11/2017,8.8,Crowne Plaza London Docklands, United Kingdom ,2768,9,5.4, On arrival the staff made it clear that as I had booked via booking com not to expect any perks or room upgrades as this would only be possible with a direct booking which is fine The pool area was dated but at least clean The amount of chemicals used in the jacuzzi was burning my eyes so be warned I decided to order some room service only to be told that this was unavailable and that I had to use external services The staff member on the phone was rude and offered nothing in the form of an explanation or apology In the morning checking out I raised these issues with the front desk and they had no knowledge of there being room service available the night before and offered no form of customer care I d suggest to anyone spending money on a place to stay in london there are much better places  The location suited me as this is tucked away in a quiet corner of london Also has a pool and spa ,Bad_review
3 3 Devonshire Terrace Westminster Borough London W2 3DN UK,6/15/2017,7.9,Paddington Court Executive Rooms, United Kingdom ,681,2,5.0, I would never return to this hotel first point the hotel is advertised with parking facility s for the hotel in the residential area I rang the hotel the day before arriving the receptionist instructed me to ring up 1 hour before arriving at the hotel so when I did this the receptionist told me there was no car parking facility s for the hotel I was already on my way to London this upset me massively and made me angry when I arrived I parked in the area and approached the hotel I was checked in by a trainee who didn t tell me what time breakfast was just handed me my key and that was that and placed us on the highest floor with no elevator this should be stated on the add as it s absolutely shocking how many stairs you have to climb I m 26 years old which is fine but anyone older would struggle massively Being close to Hyde park that s all that is good about this hotel,Bad_review
47 47 Welbeck Street Westminster Borough London W1G 8DN UK,6/19/2016,8.9,The Marylebone Hotel, United States of America ,1738,1,4.6, The Rooms should have had shades or drapes That darkened the room our room was light at four am drapes did not fit prime purpose of staying there was to sleep when informed we were promptly moved to another room for the second night Very dark corridors,Bad_review
4 4 Portal Way Gypsy Corner A40 London W3 6RT UK,7/17/2017,8.1,Holiday Inn London West, Saudi Arabia ,1500,1,6.3, A C Location,Bad_review
163 163 Marsh Wall Docklands Tower Hamlets London E14 9SJ UK,9/20/2015,7.1,Britannia International Hotel Canary Wharf, United Kingdom ,9086,1,5.4, The beds were terrible and it seemed that the mattress had been there for about 10 years They were uncomfortable I had a room that had no view at all The website did say they had such rooms and I did not pick that one the staff on a face to face were not as courteous as on the phone  The food would have been ok at Ibis or a Travellodge The staff I spoke with on telephone were good and courteous ,Bad_review
372 372 Strand Westminster Borough London WC2R 0JJ UK,11/9/2015,8.1,Strand Palace Hotel, United Kingdom ,9568,1,6.3, Carvery overcrowded poor service Check out procedure had to queue for over 15 mins needs more staff or automatic check out  Location,Bad_review
Excel Excel 2 Festoon Way Royal Victoria Dock Newham London E16 1RH UK,1/2/2017,8.4,DoubleTree By Hilton London Excel, Germany ,2726,2,6.7, The local pub The Fox at Connaught was terrible bright lighting loud piped music and they shut at 11pm on a Friday evening  Nice view over the water albeit onto industrial areas there is not much else around London City airport Breakfast was expensive but offered everything you could want and the majority was very tasty ,Bad_review
18 18 30 Lexham Gardens Kensington and Chelsea London W8 5JE UK,2/14/2017,8.3,The Park City Grand Plaza Kensington Hotel, Lebanon ,667,1,2.5, no heating system in the rooms they had toads a portable heater that waste enough the plugs in the rooms we rent working and staff came to fix my kettle for coffee but putting it on the floor quite discusting i will never go there again even by complaining they didn t even apologies awful experience bad service im really disappointed wish they could do anything to arrangee it but receptionist was rude and manager useless what a shame dont go there,Bad_review
52 52 54 Upper Richmond Road Wandsworth London SW15 2RN UK,6/12/2016,8.2,The Lodge Hotel Putney, United Kingdom ,525,10,5.4, The staff were surly unfriendly and in the main unhelpful The manageress was brusque and defensive bordering on rude Breakfast room utterly soulless Quite a trip up to the rooms with no offer of help with bags dresses etc  The location of this hotel was excellent for our purposes ,Bad_review
Schottenring Schottenring 3 01 Innere Stadt 1010 Vienna Austria,9/8/2015,8.5,Hotel de France Wien, Canada ,5177,7,5.8, Worn dirty carpets furniture Horrible beds The friendly staff rich common areas great breakfast buffet could not begin to compensate for the dingy stained worn guest room The beds were lumpy boards the pillows worn out ,Bad_review
Staalmeesterslaan Staalmeesterslaan 410 Slotervaart 1057 PH Amsterdam Netherlands,4/26/2016,8.2,Ramada Apollo Amsterdam Centre, Georgia ,5770,1,6.3, Bed was not comfortable It was too much dust in the room ,Bad_review
23 23 Leinster Gardens Westminster Borough London W2 3AN UK,4/21/2016,7.0,Henry VIII, United Kingdom ,2937,1,4.6, No restoran small room breakfast hot trays emty ,Bad_review
Damrak Damrak 1 5 Amsterdam City Center 1012 LG Amsterdam Netherlands,3/10/2017,8.0,Park Plaza Victoria Amsterdam, United Kingdom ,4820,1,5.8, Our room Bed too low not the ordered double but a twin and very uncomfortable No decent chairs in the room or anywhere  The bathroom was designed by the devil the furniture likewise ,Bad_review
97 97 rue Lauriston 16th arr 75016 Paris France,12/17/2016,8.5,H tel Waldorf Trocad ro, Belgium ,338,17,6.7, The wifi was extremely slow and the shower was leaky It was a real pain to find a puddle of water in the bathroom when stepping out of the shower  The bed is comfortable the room and bathroom are nice although a little old and worn out The staff was also very nice ,Bad_review
78 78 84 Sussex Gardens Westminster Borough London W2 1UH UK,7/11/2017,7.7,Shaftesbury Metropolis London Hyde Park, United Kingdom ,2867,6,5.8, Unfortunately after returning to room at 11 30 and going to bed the power supply to the room went off whilst reading Rang reception who said said they knew about it and would be fixed by 8 a m Although offered to move rooms after midnight it was not practical However it was a hot night and then realised the air conditional wouldn t work without power Hence very little sleep Having no light was difficult for the bathroom When checking out expected a partial refund but only a half hearted apology was given Will not use again  Location,Bad_review
4 4 18 Harrington Gardens Kensington and Chelsea London SW7 4LH UK,5/8/2016,7.8,Millennium Gloucester Hotel London, United Kingdom ,5726,1,2.9, The a c the bath some rooms are smelly Nothing,Bad_review
Dam Dam 9 Amsterdam City Center 1012 JS Amsterdam Netherlands,3/19/2017,8.4,NH Collection Amsterdam Grand Hotel Krasnapolsky, United Kingdom ,4686,7,6.7, Noisy room No bath Expensive ,Bad_review
23 23 Leinster Gardens Westminster Borough London W2 3AN UK,8/2/2017,7.0,Henry VIII, Germany ,2937,4,5.4, Bad wifi I could not use wifi in my room because it was disconnected all the times ot too too slow ,Bad_review
Westminster Westminster Bridge Road Lambeth London SE1 7UT UK,1/4/2017,8.7,Park Plaza Westminster Bridge London, United Kingdom ,12158,1,6.3, Lots of staff at reception but no clear order as to who was next in queue High room with view was requested where floor 2 with view of executive Lounge corridor and executive guests walking past room window Was given Room lights only on panel by bed and not at entrance to room Heating too warm and air con too loud Bed not comfortable  Close to the London eye Big Ben,Bad_review
Piazza Piazza Gerusalemme 6 Sempione 20154 Milan Italy,10/26/2015,8.0,Hotel Mozart, Cameroon ,4015,3,6.5, The hotel get money from my bank account without notification to me while my reservation was said to have been cancelled they said they were trying to see if i have money in my account rooms too small for 180 Euro,Bad_review
1 1 Addington Street Lambeth London SE1 7RY UK,8/9/2016,8.4,Park Plaza County Hall London, United Kingdom ,6117,1,5.8, hotel was overpriced room was clean and tidy reception staff helpful,Bad_review
Wrights Wrights Lane Kensington and Chelsea London W8 5SP UK,10/24/2016,7.8,Holiday Inn London Kensington, United Kingdom ,5945,5,6.7, Despite being on the menu there was no hash browns for breakfast although this was substituted by normal potatoes which was acceptable Unfortunately all of the breakfast was stone cold The wifi connection was fiddly and constantly kept dropping out There was building work in the hotel and what seemed like a constant heavy drilling for most of the day time which was annoying The double bed was two mattresses pushed together which gave an uncomfortable ridge in the centre of the bed  The staff were attentive and helpful,Bad_review
97 97 Great Russell Street Bloomsbury Camden London WC1B 3LB UK,6/4/2017,8.2,Radisson Blu Edwardian Kenilworth, United Kingdom ,2011,1,5.4, Cold shower  Quality of breakfast,Bad_review
380 380 Kensington High Street Kensington and Chelsea London W14 8NL UK,12/18/2015,7.4,Hilton London Olympia, United Kingdom ,1786,10,5.4, Needs refurbishment Close to olympia,Bad_review
Vijzelstraat Vijzelstraat 4 Amsterdam City Center 1017 HK Amsterdam Netherlands,3/29/2016,7.0,NH Carlton Amsterdam, Israel ,4231,19,5.0, problematic reception and cleening endless problems with electricity location is perfact good breakfast problemtic staff and problems with electricity,Bad_review
23 23 Leinster Gardens Westminster Borough London W2 3AN UK,4/12/2016,7.0,Henry VIII, United Kingdom ,2937,3,5.8, 1 Staff need more attention to detail For example reception didn t ask have you stayed before Breakfast is downstairs in the restaurant bar area and at breakfast they took my room number gave me a table and that was it I would have expected them to ask if I knew where everything was rather than feeling you had to fend for yourself I am harsh but have worked in catering and expect a decent standard 2 Food provided for room service is appalling Brakes congealed tomato soup and walkers ready salted crisps no bread roll Was cheap and nasty and charged 7 00 for the pleasure of it I feel if you are going to offer room service do it properly Also room service was advertised between 7 11 and when I rang I was told it wasn t until 8pm No apology given After 8pm it took me six attempts to order as the bar didn t answer If you want to provide guests drinks and don t have the catering staff put in a mini bar I had a cupboard in my room that was a perfect candidate for conversion The menu was mostly drinks which says a lot It made me wish I had gone and bought something from sainsburys 3 Could do with a refurbishment I stayed in 108 and the side of the bath was coming off No carpet in the rooms and makes it feel cheap Advertised as 4 but feels budget if I compare to other 4 hotels I have stayed at 4 No gown or slippers provided for use of spa facilities Reception should warn you of this and how to use pool etc  I am 37 weeks pregnant and the pool was the best part of my stay and the bed was comfortable albeit they could do with a thicker duvet on offer Breakfast was decent ,Bad_review
19 19 Brent Street Brent Cross London NW4 2EU UK,12/15/2016,8.6,The Pillar Hotel, United Kingdom ,215,4,2.9, Room to small staff not to social and as a guest y was not feeling comfortably,Bad_review
Avenida Avenida Roma 2 4 Sants Montju c 08014 Barcelona Spain,11/1/2015,8.5,Gran Hotel Torre Catalunya, United Kingdom ,1671,3,6.7, The hotel is a bit dated windows were filthy had to pay extra to use swimming pool etc Bedroom very warm Ran the bath water it was brown There was a kettle in the room but maid forgot to leave milk Ice machine on each floor but doesn t work  It was in each reach of major metro that linked to most networks Restaurants close by ,Bad_review
5 5 Threadneedle Street City of London London EC2R 8AY UK,1/24/2017,8.8,Threadneedles Autograph Collection, Hong Kong ,390,2,6.3, The pillows were too soft and quite dusty in the room  Very nice set breakfast It would be better if there are more options for few day stay ,Bad_review
Great Great Cumberland Place Westminster Borough London W1H 7DL UK,10/10/2015,7.5,The Cumberland A Guoman Hotel, Qatar ,5180,16,2.5, Will never stay in this hotel again Some behavior of staff and policies of the hotel are directed towards certain cultures and ethnicities ,Bad_review
163 163 Marsh Wall Docklands Tower Hamlets London E14 9SJ UK,6/7/2017,7.1,Britannia International Hotel Canary Wharf, Russia ,9086,4,2.5, Hair in sink Dirty bathroom shocking The staff was unhelpful and rude I stayed 3 days with family of 4 and they were very uncomfortable to stay there There was hair in sink bathroom was very dirty Not enough towels for 4 of us The hotel said we have to pay extra for the swimmimg pool and also there are no free towels by pool The towels are also extra fee Pool area was freezing,Bad_review
88 88 Queens Gate Kensington and Chelsea London SW7 5AB UK,8/11/2015,8.8,Adria Boutique Hotel, Norway ,478,7,6.7, Breakfast not value for money Std room small Nice hotel and building good location,Bad_review
1 1 Kings Cross Road Islington London WC1X 9HX UK,6/7/2017,8.1,Crowne Plaza London Kings Cross, United Kingdom ,2312,5,6.7, Was a nice stay but to have to pay to use the gym when I paid 195 for one night was very bad,Bad_review
20 20 Rue Jean Rey 15th arr 75015 Paris France,5/22/2016,8.0,Mercure Paris Centre Tour Eiffel, Australia ,2611,1,4.6, We didn t appreciate paper cups for tea and coffee and disposable glasses No facewashers were supplied and towels were very thin and worn  The bed was comfortable The location good ,Bad_review
Leeuwendalersweg Leeuwendalersweg 21 Bos en Lommer 1055 JE Amsterdam Netherlands,7/24/2017,7.4,Best Western Blue Tower Hotel, United Arab Emirates ,3869,2,6.7, The hotel is not at the heart of the city It is located a little away from the city centre which made walking to the main areas difficult However the tram bus and train station is just a 1 minute walk from the hotel  Very friendly hotel staff That rooms and the other hotel areas were kept very clean The hotel also has good tour discount coupons available at the reception ,Bad_review
30 30 John Islip St Westminster Borough London SW1P 4DD UK,8/28/2016,8.5,DoubleTree by Hilton London Westminster, Ireland ,3269,1,6.7, Didnt find the reception staff very friendly or helpful was quite disappointed with that Room was quite small Bar was lovely comfy and bar staff were friendly,Bad_review
11 11 13 Bayley Street Bedford Square Camden London WC1B 3HD UK,7/7/2017,8.1,My Bloomsbury, China ,1161,13,6.7, Breakfast too simple  Location ,Bad_review
61 61 rue de la Voute 12th arr 75012 Paris France,2/1/2017,7.7,Best Western Plus 61 Paris Nation Hotel, Belgium ,795,42,3.8, Breakfast is very poor value for money and the rooms are incredibly small for that price  Good shower,Bad_review
225 225 Edgware Road Westminster Borough London W2 1JU UK,10/13/2015,7.5,Hilton London Metropole, United Kingdom ,6977,1,6.7, Having to queue ages to check in which was also the same queue for checking out Had to also queue for a substantial amount of time for breakfast as the room could not cater for the number of guests possible solution is booking a table at the time that suits The bed was very hard the air freshener was over powering  Location near to two tube stations In walking distance to Marble Arch,Bad_review
Passeig Passeig de Gr cia 29 Eixample 08007 Barcelona Spain,7/4/2017,8.3,Eurostars Bcn Design, Singapore ,1601,4,6.3, Tolietries limited for 5 star hotel dont even have hair conditioner No bell serice you are expected to lug baggage to room yourself  Noisy room Staff not very friendly and helpful ,Bad_review
2 2 The Avenue Ealing London W13 8PH UK,5/14/2017,8.8,The Drayton Court Hotel, United Kingdom ,750,1,4.6, The hotel no longer has the swimming pool facility contract with the local spa but this is not reflected in partnered booking site deals This loss of facility did not change the price and nor did it bother the manager that I had specifically chosen a hotel with this facility to find out on the day of arrival with a nonchalant approach that the contract no longer exists I would have chosen a different hotel closer to the centre with a built in pool for less money  The decor was very nice ,Bad_review
La La Rambla 22 24 Ciutat Vella 08002 Barcelona Spain,6/19/2016,8.2,Eurostars Ramblas, Germany ,1878,3,4.2, Facilities were mediocre and minimal We asked for body shampoos but were delivered only one day Was not worth the money It was more a three star hotel than a four star one Location was good Breakfast pastries were good,Bad_review
Plaza Plaza Espa a 6 8 Sants Montju c 08014 Barcelona Spain,9/30/2016,8.4,Catalonia Barcelona Plaza, Bahrain ,4527,1,5.8, Staff not helpful Room small House kepping rude We didn t get our room until 3 30 and this was so bad we had to take a nap n the lobby waiting for the room to be ready I think we will not go there again Location,Bad_review
225 225 Edgware Road Westminster Borough London W2 1JU UK,11/29/2015,7.5,Hilton London Metropole, Saudi Arabia ,6977,15,5.0, The lobby Bad and old rooms No free wifi,Bad_review
1 1 8 Russell Square Camden London WC1B 5BE UK,2/28/2016,8.0,The Principal London, United Kingdom ,3150,2,6.3, Hotel is tired and could do with make over Matress not very comfortable  Good location ,Bad_review
3 3 Place du G n ral Koenig 17th arr 75017 Paris France,10/13/2015,7.1,Hyatt Regency Paris Etoile, Egypt ,3973,8,6.5, Rooms are in a poor state with flaky walls and poor furniture Even the main hallways are in a poor state and need a lot of renovation Room is not a 4 star standard at all Adjoining the palais des congres where I had a congress So very convenient for business purposes Not far away from the center and easily accessible ,Bad_review
97 97 Great Russell Street Bloomsbury Camden London WC1B 3LB UK,3/18/2017,8.2,Radisson Blu Edwardian Kenilworth, United Kingdom ,2011,73,6.3, The restaurant messed up my order and brought the wrong meal after I d waited for a long time for the food to arrive By the time the wrong dish arrived it was too late to cook the correct food There was no hot water in the basin of my room 512  The support of the Concierge was good ,Bad_review
Empire Empire Way Wembley Brent London HA9 8DS UK,7/29/2016,8.3,Holiday Inn London Wembley, United Kingdom ,3469,1,6.7, Food was terrible Room service was cold as the staff member who brought it up spent 25 mins trying to get the card machine to work and wouldn t let us eat then pay We did complain and get a discount We then went to the bar later and ordered chips Just chips It took 55 mins and they were also cold We gave up at this point  Room was lovely and comfy ,Bad_review
225 225 Edgware Road Westminster Borough London W2 1JU UK,1/14/2016,7.5,Hilton London Metropole, Portugal ,6977,1,5.8, The shower Very poor quality How is it possible in a hotel of this category ,Bad_review
3 3 Rue Caulaincourt 18th arr 75018 Paris France,2/20/2016,8.4,Mercure Paris Montmartre Sacr Coeur, Turkey ,1652,26,6.3, We like breakfast,Bad_review
Ramon Ramon Turr 196 198 Sant Mart 08005 Barcelona Spain,1/30/2017,7.9,Ilunion Barcelona, United Kingdom ,3944,1,5.4, Booked smoking room although hotel apparently doesn t have smoking rooms although the sign in the room says no smoking but if you would like a smoking room please contact reception to be told they don t have them why the sign and why allow to book Also my wife left a 700 ring next to the sink when we checked out realised when we were on the plane home rang when we got home what a surprise no one seen it so obviously it couldn t had been there because I m sure there staff would have handed it in of course  Bed was comfortable,Bad_review
Muntaner Muntaner 352 Sarri St Gervasi 08021 Barcelona Spain,10/1/2015,8.1,Hotel Rekord, United Kingdom ,461,5,6.7, The room was dark and dismal and there was mould on the ceilings which we were told was our fault as there were 3 of us using the shower The locaton is very suburban and you do feel like a fish out of water in the area I felt it was very obvious we were tourists encroaching on local territory I think the hotel would be fine for a business trip more than leisure  The front desk staff were very friendly and helpful The food was basic but more than enough to provide you with enough energy for the day ahead The bathrooms were equipped with everything you might need for a couple of days away from razors sponges and deoderant ,Bad_review
9 9 13 Bloomsbury Street Nr Covent Garden Camden London WC1B 3QD UK,1/10/2017,8.6,Radisson Blu Edwardian Bloomsbury Street, United Kingdom ,1641,5,3.3, Rooms tiny Dirty carpets and bathroom Moved rooms due to smell Only spotlights in ceiling no lamps to read by Breakfasts poor and limited choice  Good location for some things,Bad_review
55 55 61 Westbourne Terrace Westminster Borough London W2 3UY UK,3/8/2017,7.3,Shaftesbury Premier London Paddington, Switzerland ,3609,5,5.0, Room small No towel hangers No electricity in room Hairdryer not working Room window glass broken  Nothing,Bad_review
Wagramer Wagramer Stra e 16 18 22 Donaustadt 1220 Vienna Austria,5/20/2017,8.6,Park Inn by Radisson Uno City Vienna, United States of America ,2341,3,6.3, Rude bartender my husband struck his head on the slanted ceiling in our room and went down to the bar and asked the bartender for ice The bartender acted like my husband was inconveniencing him and snapped at him to wait  Continental breakfast buffet was convenient as there wasn t much else around to eat Can t eat the hot breakfast for more than a few days though it ll make you sick ,Bad_review
372 372 Strand Westminster Borough London WC2R 0JJ UK,4/9/2017,8.1,Strand Palace Hotel, Poland ,9568,5,6.7, The hotel needs renovation We had an inner room with window but it would be better if there hadn t been one Two out of three main elevators were not working  The hotel is perfectly located and this is what matters most After all you shouldn t spend time in the hotel room while in London ,Bad_review
1 1 Impasse Marteau 18th arr 75018 Paris France,5/2/2017,7.4,Novotel Suites Paris Nord 18 me, Egypt ,1082,2,5.4, the breakfast is very basic and the area around the hotel is scary and dirty I was travelling with wife and 2 kids I was looking around us every second to make sure no one was following us The reception area is the same area as the breakfast which is something I have never seen before the rooms are clean and cosy the staff are polite and helpful,Bad_review
190 190 Queen s Gate Kensington and Chelsea London SW7 5EX UK,5/12/2016,8.6,The Gore Hotel Starhotels Collezione, United Kingdom ,968,3,6.0, Considering the cost I thought the hotel was tired looking not really to my taste and no tea coffee in the room was very disappointing  The staff were friendly and the breakfast was good ,Bad_review
6 6 Rue de l Arcade 8th arr 75008 Paris France,12/22/2015,7.2,Amarante Beau Manoir, Kenya ,759,12,6.3, Fairly basic rooms and facilities Ok for sleeping but not much The location This is the best location you can get for this price Everything is close by and excellent link with train and buses ,Bad_review
Handelskai Handelskai 269 02 Leopoldstadt 1020 Vienna Austria,11/10/2016,8.4,Hilton Vienna Danube Waterfront, Romania ,2349,30,5.4, Huge room very cold I had to sleep with my sweater on even though the AC was on 30 degrees and running all night with the noise disturbance and all the inconvenience One of the few hotel where I have ever been and they do not have free wifi I had to pay 25 euro for 24 hours and the connection was dropping every 10 minutes garbage can in the restroom was broken I ordered room service and the soup had so much salt that I could only eat half of it and they charge extra 5 5 euro for room service  Food at dinner and staff being polite,Bad_review
Nicaragua Nicaragua 47 Sants Montju c 08029 Barcelona Spain,1/16/2016,8.1,Acta CITY47, Ireland ,2436,1,6.3, No facilities just small gym Very good location and clean comfortable rooms,Bad_review
239 239 Vauxhall Bridge Road Westminster Borough London SW1V 1EQ UK,9/11/2015,8.6,Park Plaza Victoria London, Israel ,4426,19,6.3, Cleaning was bad For example only came late afternoon at times no vacuuming as seen by dirt on carpet lacking in refill of tea coffee and water and constantly left their main key card in our room Hotel not at said 4 level and expensive Rooms need upgrading dull and small and a change of cleaning service  Staff in reception and breakfast room Excellent service and information and fantastic breakfast selection Central location just like many others ,Bad_review
Pallars Pallars 128 130 Sant Mart 08018 Barcelona Spain,6/13/2017,7.9,Sall s Hotel Pere IV, India ,3130,12,3.8, The room had smell of paint We paid for pedicure at the spa in cash During check out we were asked for payment again The front desk head Roger was very rude saying that it was his discretion to check whether we paid for it or not After few hours they accepted that we had made payment The rude behaviour is unacceptable ,Bad_review
372 372 Strand Westminster Borough London WC2R 0JJ UK,7/11/2017,8.1,Strand Palace Hotel, Singapore ,9568,5,6.3, No air conditioning This was almost unbearable in London s summer The table fan provided little respite from the stuffiness of the room  Location was excellent We watched 3 shows and it was a breeze walking to the theatres especially Lyceum getting food before and after the shows Covent Garden is a stone s throw away Tube stations are reasonably close by It takes 10 15 minutes to walk to Charing Cross Embankment Covent Garden stations ,Bad_review
2 2 24 Kensington High St Kensington and Chelsea London W8 4PT UK,12/21/2016,8.8,Royal Garden Hotel, Turkey ,2213,12,6.7, Breakfast didnot have any greens or olives Too slow service at breakfast Room is not furbished for 5 star hotel standard ,Bad_review
5 5 rue du 8 Mai 1945 10th arr 75010 Paris France,8/25/2016,7.9,Holiday Inn Paris Gare de l Est, United Kingdom ,6511,6,6.3, bathroom were little dirty on edges bed had few hair strands one of our baby white towel went missing and after mentioning there offered us new although ours was better quality and baby towel so I said no need bathroom were spacious and bed comfy close to station staff were nice and helpful,Bad_review
64 64 76 Hendon Way London NW2 2NL UK,2/28/2016,7.9,Best Western Palm Hotel, United Kingdom ,2037,1,6.3, Location 20min walk to nearest tube far from central London and on a busy main road Room was overlooking garbage bins Shower didn t work properly and bathroom smelt a little funny Layout of the hotel also a little confusing Bar very small if there s a large group of you Wouldn t recommend going if you re with a group of friends Local area not very nice Nearest shops about 10 min walk too  Room Service Sky Sports HD Clean Rooms ,Bad_review
Gran Gran V a de les Corts Catalanes 322 Sants Montju c 08004 Barcelona Spain,3/6/2016,8.8,Ayre Hotel Gran V a, Hong Kong ,4887,1,6.7, No duvets We had to request one but they gave us that one without duvet cover It was disgusting to use it as we were not sure if the duvet had been cleaned or not  Location is great Close to metro station and the airport shuttle bus stop is just few minutes walk from the hotel ,Bad_review
Epping Epping Forest 30 Oak Hill London IG8 9NY UK,8/2/2017,7.5,Best Western PLUS Epping Forest, United Kingdom ,587,2,5.4, I found the hotel to be understaffed and the staff who were though where very young and in experianced every time i went to work and came back my door cartd never worked on thre occasions I went down to the bar for a refreshing beer but on the first occassion my lager was flat but I never aid anythin the second time I gave up waiting to be served and in the third occasion they had run out of Lager and bitter and it was still only around 8 30 at nite  the location as I was working just 4 miles away,Bad_review
Via Via Spallanzani 40 Central Station 20129 Milan Italy,7/13/2016,8.1,Starhotels Ritz, India ,4248,6,5.4, The staff was rude sometimes and didn t really show much interest in customers,Bad_review
Passeig Passeig de Gracia 132 Gr cia 08008 Barcelona Spain,10/26/2015,9.0,Hotel Casa Fuster G L Monumento, Australia ,935,3,6.0, Rooms like coffins Looks like the 80s Dated needs big overhaul to charge these prices Room electricals and plumbing dogey because need updateing Very poor breakfast in a basement Have had better choice and presentation in country Australia At 475aud a night very poor Should have look at what the Shangril La for one do as a matter of course in all their establishments Extreamly disappointed at the price Had just stayed at the Alfonso in Seville and felt you certainly got what you had paid for there Overall the hotell is extreamly overpriced Basically just felt ripped off Oh Well live andlearn But will warn friends Your rating is far too high at value for money Will certainly warn friends to avoid far better to be had if you are going to pay these prices  Beautiful building Location Metro outside,Bad_review
